"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2024","102.8174","102.2734","103.2044","102.2498","","-0.08%"
"04/05/2024","102.8961","101.7646","103.1870","101.7599","","0.62%"
"04/04/2024","102.2595","102.2396","102.3143","101.6018","","0.34%"
"04/03/2024","101.9094","100.9001","102.1107","100.8030","","1.20%"
"04/02/2024","100.6986","100.1451","101.0483","100.0623","","0.79%"
"04/01/2024","99.9046","99.8593","100.2917","99.4686","","0.42%"
"03/28/2024","99.4894","98.2955","99.5549","98.1787","","1.20%"
"03/27/2024","98.3107","98.2541","98.4087","97.9978","","-0.37%"
"03/26/2024","98.6781","99.2575","99.4904","98.6275","","-0.61%"
"03/25/2024","99.2827","99.0024","99.5672","98.7432","","0.59%"
"03/22/2024","98.7040","99.0609","99.2270","98.6882","","-0.74%"
"03/21/2024","99.4434","100.2697","100.3455","98.9555","","0.20%"
"03/20/2024","99.2492","99.5748","99.6189","98.8326","","-0.34%"
"03/19/2024","99.5907","99.6528","99.7436","99.2392","","-0.09%"
"03/18/2024","99.6785","99.6035","99.8887","99.3234","","0.49%"
"03/15/2024","99.1895","99.1269","99.4232","98.7304","","0.11%"
"03/14/2024","99.0783","99.0894","99.2767","98.6889","","0.09%"
"03/13/2024","98.9916","98.1986","99.0602","98.1637","","0.82%"
"03/12/2024","98.1840","98.2713","98.5002","97.8242","","-0.12%"
"03/11/2024","98.2987","97.8629","98.4420","97.6510","","0.30%"
"03/08/2024","98.0040","98.2483","98.7210","97.4236","","-0.29%"
"03/07/2024","98.2922","97.8571","98.5628","97.7880","","0.44%"
"03/06/2024","97.8660","97.1204","98.1200","97.0810","","0.59%"
"03/05/2024","97.2962","97.4056","97.7983","97.1557","","-0.37%"
"03/04/2024","97.6548","97.3973","98.1171","97.2731","","0.45%"
"03/01/2024","97.2157","96.6944","97.3093","96.4434","","0.53%"
"02/29/2024","96.6989","96.5881","97.0262","96.1472","","0.04%"
"02/28/2024","96.6555","96.5844","96.8013","95.9825","","0.00%"
"02/27/2024","96.6585","96.1369","96.7136","95.9606","","0.90%"
"02/26/2024","95.7960","95.4456","95.8586","95.1951","","0.41%"
"02/23/2024","95.4053","96.2838","96.3418","95.3583","","-1.05%"
"02/22/2024","96.4155","95.9819","96.8949","95.5701","","-0.14%"
"02/21/2024","96.5535","95.9819","96.6489","95.5701","","0.75%"
"02/20/2024","95.8341","95.9819","96.2533","95.5701","","-0.44%"
"02/16/2024","96.2531","96.6858","97.1270","95.1738","","0.66%"
"02/15/2024","95.6234","96.6858","97.1270","95.1738","","0.23%"
"02/14/2024","95.4028","96.6858","97.1270","95.3839","","-0.91%"
"02/13/2024","96.2778","96.6858","97.1270","95.9566","","-0.46%"
"02/12/2024","96.7209","96.6858","97.0982","96.6017","","-0.24%"
"02/09/2024","96.9496","96.7485","97.2888","96.5308","","-0.05%"
"02/08/2024","96.9936","96.5325","97.0972","95.9000","","0.35%"
"02/07/2024","96.6545","96.5325","96.9748","95.9000","","0.02%"
"02/06/2024","96.6324","96.5325","96.9339","95.9000","","0.17%"
"02/05/2024","96.4708","96.5325","96.8026","95.9000","","-0.21%"
"02/02/2024","96.6698","98.8541","99.0473","96.5417","","-0.95%"
"02/01/2024","97.5928","98.8541","99.0473","97.4254","","-0.98%"
"01/31/2024","98.5602","98.8541","99.0473","97.5910","","-0.30%"
"01/30/2024","98.8580","98.8541","98.9521","97.5910","","0.97%"
"01/29/2024","97.9105","98.8541","98.9215","97.8130","","-0.88%"
"01/26/2024","98.7813","98.5660","99.1563","98.0338","","0.06%"
"01/25/2024","98.7207","98.5660","99.1563","98.2608","","0.24%"
"01/24/2024","98.4872","97.7650","98.6162","97.6173","","0.90%"
"01/23/2024","97.6048","96.9696","97.7171","96.8235","","0.73%"
"01/22/2024","96.8997","96.5200","97.0822","96.0659","","0.10%"
"01/19/2024","96.7989","97.3068","97.6810","96.7662","","-0.41%"
"01/18/2024","97.1996","96.5320","97.2133","96.2148","","0.58%"
"01/17/2024","96.6416","97.1022","97.1022","96.2892","","-0.81%"
"01/16/2024","97.4334","97.6030","98.0345","97.2249","","-0.54%"
"01/12/2024","97.9590","98.5945","99.1856","97.4886","","0.30%"
"01/11/2024","97.6650","97.5839","98.5038","97.5795","","0.18%"
"01/10/2024","97.4891","98.3968","98.5004","97.3487","","-0.80%"
"01/09/2024","98.2761","97.5638","98.6393","97.3596","","0.90%"
"01/08/2024","97.4017","98.1776","98.2141","96.6628","","-1.25%"
"01/05/2024","98.6326","98.5611","98.9872","97.9148","","0.32%"
"01/04/2024","98.3138","98.4427","98.8737","97.8161","","-0.01%"
"01/03/2024","98.3249","98.0844","98.5290","97.5109","","0.23%"
"01/02/2024","98.0974","99.2276","99.6602","97.9038","","-0.56%"
"12/29/2023","98.6460","99.4446","99.5512","98.6196","","-0.92%"
"12/28/2023","99.5651","100.2205","100.2725","99.5327","","-0.56%"
"12/27/2023","100.1262","100.0057","100.4936","99.7519","","0.21%"
"12/26/2023","99.9115","99.2614","100.0048","99.0886","","0.56%"
"12/22/2023","99.3544","99.4231","99.8536","99.1637","","0.34%"
"12/21/2023","99.0173","98.8781","99.1867","98.5712","","-0.11%"
"12/20/2023","99.1295","99.7813","100.0416","98.9693","","-0.45%"
"12/19/2023","99.5763","99.0699","99.7762","98.7989","","0.47%"
"12/18/2023","99.1083","98.8121","99.8273","98.4998","","0.21%"
"12/15/2023","98.8993","98.9292","99.1601","98.3988","","0.31%"
"12/14/2023","98.5902","97.4678","98.7419","97.3798","","2.27%"
"12/13/2023","96.4029","96.2516","96.7154","95.9231","","0.04%"
"12/12/2023","96.3658","97.5182","97.8585","96.2697","","-0.96%"
"12/11/2023","97.3040","97.6229","97.7772","96.6723","","-0.57%"
"12/08/2023","97.8635","98.2111","98.6656","97.6543","","0.04%"
"12/07/2023","97.8204","97.6562","98.2766","97.5672","","0.28%"
"12/06/2023","97.5491","99.6969","99.9437","97.4909","","-2.03%"
"12/05/2023","99.5711","100.0097","100.3605","99.4818","","-0.42%"
"12/04/2023","99.9919","101.0512","101.0554","99.9569","","-1.46%"
"12/01/2023","101.4705","101.6678","102.3895","101.1761","","-0.33%"
"11/30/2023","101.8067","102.3773","102.7565","101.4660","","-0.51%"
"11/29/2023","102.3333","101.8971","102.3683","101.6175","","0.35%"
"11/28/2023","101.9748","101.1757","102.3591","100.9533","","1.00%"
"11/27/2023","100.9681","101.1429","101.4255","100.8070","","-0.44%"
"11/24/2023","101.4189","102.2713","102.3370","101.3809","","-0.75%"
"11/22/2023","102.1838","102.8105","102.8802","101.3641","","-0.73%"
"11/21/2023","102.9389","102.9219","103.0948","102.5034","","0.24%"
"11/20/2023","102.6901","102.1380","102.8070","101.7218","","0.76%"
"11/17/2023","101.9202","101.7458","102.0588","101.3532","","0.14%"
"11/16/2023","101.7808","102.9265","103.4228","101.6038","","-1.53%"
"11/15/2023","103.3672","103.4419","103.8126","103.2424","","-0.03%"
"11/14/2023","103.3938","103.3507","104.0363","102.8264","","0.26%"
"11/13/2023","103.1268","101.5250","103.1556","101.4504","","1.49%"
"11/10/2023","101.6086","101.9787","102.0652","101.5445","","-0.54%"
"11/09/2023","102.1643","102.2650","102.7310","102.0552","","-0.18%"
"11/08/2023","102.3481","103.3211","103.3572","102.1177","","-0.65%"
"11/07/2023","103.0161","104.7054","104.7159","103.0067","","-1.89%"
"11/06/2023","104.9975","104.9893","105.6285","104.9256","","-0.22%"
"11/03/2023","105.2272","105.1935","105.9060","105.0877","","0.17%"
"11/02/2023","105.0477","104.6097","105.0932","104.3681","","0.85%"
"11/01/2023","104.1593","104.5126","105.1988","104.1135","","-0.44%"
"10/31/2023","104.6162","104.3892","105.3906","104.1888","","0.14%"
"10/30/2023","104.4740","105.4906","105.5313","104.3447","","-1.09%"
"10/27/2023","105.6300","104.8379","105.8204","104.8379","","0.99%"
"10/26/2023","104.5994","104.9581","105.1677","104.3354","","-0.44%"
"10/25/2023","105.0615","104.7277","105.0825","103.7972","","0.46%"
"10/24/2023","104.5826","104.9101","105.1055","104.0357","","-0.27%"
"10/23/2023","104.8618","105.2105","105.6628","104.8483","","-0.90%"
"10/20/2023","105.8155","106.3836","106.7086","105.7334","","-0.25%"
"10/19/2023","106.0803","105.7063","106.1401","105.1876","","0.17%"
"10/18/2023","105.8979","105.7355","106.1723","105.4492","","1.02%"
"10/17/2023","104.8331","104.4753","105.1573","104.3166","","0.12%"
"10/16/2023","104.7056","105.1685","105.2982","104.5317","","-0.55%"
"10/13/2023","105.2870","103.4174","105.3083","103.3895","","1.87%"
"10/12/2023","103.3567","103.0884","103.6679","102.7554","","0.31%"
"10/11/2023","103.0353","103.8938","104.1356","102.5412","","-0.55%"
"10/10/2023","103.6054","103.7567","103.7946","103.1919","","-0.15%"
"10/09/2023","103.7560","104.1348","104.3155","103.3112","","1.15%"
"10/06/2023","102.5742","101.8115","102.6515","101.5151","","0.91%"
"10/05/2023","101.6456","101.8378","102.0118","100.9291","","0.02%"
"10/04/2023","101.6285","103.3088","103.4561","101.6067","","-1.77%"
"10/03/2023","103.4618","103.1950","103.6568","103.0638","","-0.28%"
"10/02/2023","103.7479","104.7031","104.9560","103.6893","","-1.04%"
"09/29/2023","104.8391","106.2327","106.5888","104.7907","","-1.00%"
"09/28/2023","105.8928","106.0976","106.3432","105.7247","","0.12%"
"09/27/2023","105.7688","105.7616","106.1160","105.5627","","0.35%"
"09/26/2023","105.4050","105.8300","105.8518","104.9131","","-0.33%"
"09/25/2023","105.7523","106.1119","106.2581","105.4059","","-0.44%"
"09/22/2023","106.2245","106.2182","106.8510","106.0189","","0.15%"
"09/21/2023","106.0696","106.5940","106.8975","106.0389","","-1.10%"
"09/20/2023","107.2461","107.3387","107.6966","106.9035","","-0.20%"
"09/19/2023","107.4641","107.2597","107.9379","107.1237","","0.06%"
"09/18/2023","107.4003","107.5270","107.7830","107.2116","","-0.07%"
"09/15/2023","107.4702","107.9285","108.2163","107.3741","","-0.22%"
"09/14/2023","107.7119","107.2145","107.8474","106.9998","","0.71%"
"09/13/2023","106.9543","106.7847","107.2058","106.5429","","0.13%"
"09/12/2023","106.8176","106.6531","107.0494","106.3507","","0.13%"
"09/11/2023","106.6824","105.9318","106.9558","105.9205","","0.57%"
"09/08/2023","106.0826","105.8762","106.4865","105.7792","","0.07%"
"09/07/2023","106.0115","106.4292","106.4430","105.7968","","-0.35%"
"09/06/2023","106.3853","106.6551","106.7664","106.0578","","-0.24%"
"09/05/2023","106.6385","106.3355","107.0266","105.8154","","-0.08%"
"09/01/2023","106.7234","106.4307","107.3913","106.3632","","0.66%"
"08/31/2023","106.0289","106.1375","106.5655","105.8360","","-0.09%"
"08/30/2023","106.1231","105.8879","106.4537","105.6590","","0.32%"
