"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2024","371.20","365.83","373.55","364.95","","0.92%"
"04/05/2024","367.82","362.22","368.08","362.18","","-0.31%"
"04/04/2024","368.95","368.21","369.56","365.52","","1.31%"
"04/03/2024","364.17","354.27","364.61","353.36","","3.03%"
"04/02/2024","353.45","351.45","355.62","350.97","","0.54%"
"04/01/2024","351.54","351.36","354.06","349.54","","1.04%"
"03/28/2024","347.93","347.02","350.76","346.15","","0.17%"
"03/27/2024","347.33","346.46","347.80","344.55","","-0.21%"
"03/26/2024","348.07","348.37","349.63","345.94","","-0.19%"
"03/25/2024","348.72","350.37","351.36","347.33","","0.21%"
"03/22/2024","347.98","350.37","350.58","347.20","","-1.26%"
"03/21/2024","352.41","357.44","358.44","350.97","","0.17%"
"03/20/2024","351.80","353.58","355.10","349.85","","-0.56%"
"03/19/2024","353.80","358.14","358.88","352.45","","-1.34%"
"03/18/2024","358.62","358.35","361.52","356.27","","0.13%"
"03/15/2024","358.14","351.71","359.18","351.58","","1.95%"
"03/14/2024","351.28","353.41","353.41","348.89","","-0.36%"
"03/13/2024","352.54","340.68","353.32","340.29","","3.26%"
"03/12/2024","341.42","340.90","343.12","338.86","","0.09%"
"03/11/2024","341.12","338.17","341.21","336.82","","0.95%"
"03/08/2024","337.91","340.08","342.64","337.12","","-0.88%"
"03/07/2024","340.90","336.99","342.25","336.43","","1.32%"
"03/06/2024","336.47","333.91","338.38","333.74","","0.73%"
"03/05/2024","334.04","334.35","336.30","333.35","","-0.26%"
"03/04/2024","334.91","334.48","337.60","333.74","","-0.12%"
"03/01/2024","335.30","334.48","336.26","331.57","","0.38%"
"02/29/2024","334.04","334.69","335.87","333.61","","0.17%"
"02/28/2024","333.48","333.69","333.91","331.83","","-0.26%"
"02/27/2024","334.35","334.74","335.65","333.22","","0.42%"
"02/26/2024","332.96","336.65","337.34","332.96","","-1.69%"
"02/23/2024","338.69","338.86","339.16","335.39","","-0.37%"
"02/22/2024","339.95","331.78","339.99","330.96","","0.71%"
"02/21/2024","337.56","331.78","339.77","330.96","","0.31%"
"02/20/2024","336.52","331.78","336.82","330.96","","0.62%"
"02/16/2024","334.43","321.05","334.74","320.20","","2.09%"
"02/15/2024","327.57","321.05","327.75","320.20","","1.47%"
"02/14/2024","322.84","321.05","327.67","320.20","","-0.28%"
"02/13/2024","323.75","321.05","327.67","320.20","","-0.40%"
"02/12/2024","325.06","321.05","325.17","320.20","","1.14%"
"02/09/2024","321.38","324.01","324.14","319.27","","-0.59%"
"02/08/2024","323.29","333.88","334.80","321.35","","-0.92%"
"02/07/2024","326.28","333.88","334.80","325.93","","-1.20%"
"02/06/2024","330.26","333.88","334.80","328.73","","0.25%"
"02/05/2024","329.43","333.88","334.80","328.73","","-1.31%"
"02/02/2024","333.80","336.59","344.71","333.36","","-0.83%"
"02/01/2024","336.59","336.59","344.71","334.41","","-1.34%"
"01/31/2024","341.18","336.59","344.71","334.41","","-0.13%"
"01/30/2024","341.61","336.59","341.70","334.41","","0.82%"
"01/29/2024","338.82","336.59","339.56","334.41","","0.70%"
"01/26/2024","336.46","337.90","340.00","335.89","","-0.44%"
"01/25/2024","337.94","337.90","340.00","337.11","","-0.44%"
"01/24/2024","339.43","331.74","339.47","331.48","","2.44%"
"01/23/2024","331.35","329.12","332.44","328.60","","0.80%"
"01/22/2024","328.73","330.43","330.65","327.55","","-0.61%"
"01/19/2024","330.74","328.42","331.00","326.98","","1.11%"
"01/18/2024","327.11","326.33","328.34","324.45","","0.32%"
"01/17/2024","326.07","328.29","329.21","325.19","","-0.89%"
"01/16/2024","328.99","329.30","330.83","327.90","","0.70%"
"01/12/2024","326.72","332.09","333.49","326.55","","-0.95%"
"01/11/2024","329.86","331.74","333.88","329.21","","-0.12%"
"01/10/2024","330.26","329.38","331.26","327.90","","0.60%"
"01/09/2024","328.29","334.63","335.15","328.25","","-1.35%"
"01/08/2024","332.79","333.53","334.80","331.00","","0.11%"
"01/05/2024","332.44","336.46","337.51","332.27","","-0.99%"
"01/04/2024","335.76","337.03","339.30","333.53","","-0.45%"
"01/03/2024","337.29","338.34","338.34","334.71","","-0.49%"
"01/02/2024","338.95","340.39","341.70","337.29","","-0.26%"
"12/29/2023","339.82","342.57","343.71","338.77","","-0.87%"
"12/28/2023","342.79","345.81","346.33","342.22","","-0.88%"
"12/27/2023","345.85","342.22","347.07","341.61","","1.47%"
"12/26/2023","340.83","342.84","344.41","340.61","","-0.08%"
"12/22/2023","341.09","343.53","343.97","340.61","","-0.32%"
"12/21/2023","342.18","340.56","343.32","338.86","","0.29%"
"12/20/2023","341.18","341.74","344.58","339.73","","0.21%"
"12/19/2023","340.48","337.03","343.27","335.50","","1.19%"
"12/18/2023","336.46","338.60","339.87","335.85","","-0.99%"
"12/15/2023","339.82","339.95","342.01","336.28","","-0.05%"
"12/14/2023","340.00","335.02","341.44","334.45","","2.77%"
"12/13/2023","330.83","330.30","331.61","327.81","","0.00%"
"12/12/2023","330.83","331.31","332.97","329.08","","0.19%"
"12/11/2023","330.21","332.70","334.71","329.78","","-1.31%"
"12/08/2023","334.58","331.92","337.46","330.91","","0.87%"
"12/07/2023","331.70","328.38","331.83","327.42","","1.69%"
"12/06/2023","326.20","332.35","334.06","326.02","","-1.31%"
"12/05/2023","330.52","334.32","334.93","329.52","","-1.34%"
"12/04/2023","335.02","340.74","340.78","334.54","","-2.44%"
"12/01/2023","343.40","337.38","343.53","335.72","","2.10%"
"11/30/2023","336.33","335.76","336.59","333.05","","0.65%"
"11/29/2023","334.14","335.85","337.20","333.49","","-0.36%"
"11/28/2023","335.37","331.70","336.68","330.69","","1.04%"
"11/27/2023","331.92","334.19","334.93","331.48","","-0.85%"
"11/24/2023","334.76","333.01","334.93","331.83","","0.63%"
"11/22/2023","332.66","334.63","334.67","330.39","","-1.05%"
"11/21/2023","336.20","335.67","337.11","334.01","","0.21%"
"11/20/2023","335.50","330.39","335.59","328.82","","1.88%"
"11/17/2023","329.30","326.06","329.65","324.27","","0.88%"
"11/16/2023","326.41","325.98","329.91","325.06","","-0.48%"
"11/15/2023","327.99","325.24","328.38","324.06","","0.90%"
"11/14/2023","325.06","322.79","327.77","321.83","","0.54%"
"11/13/2023","323.31","317.07","323.44","316.53","","2.02%"
"11/10/2023","316.92","320.64","321.84","316.64","","-1.46%"
"11/09/2023","321.62","321.14","323.43","319.32","","0.08%"
"11/08/2023","321.35","325.64","327.04","320.91","","-1.11%"
"11/07/2023","324.94","326.62","326.62","322.29","","-1.08%"
"11/06/2023","328.47","325.82","329.05","325.65","","1.02%"
"11/03/2023","325.16","325.87","327.19","322.73","","0.25%"
"11/02/2023","324.37","324.63","326.00","322.95","","0.64%"
"11/01/2023","322.29","321.58","325.82","320.92","","0.00%"
"10/31/2023","322.29","322.16","324.50","320.75","","-0.26%"
"10/30/2023","323.13","322.91","327.64","322.07","","0.34%"
"10/27/2023","322.03","316.77","323.13","316.73","","1.72%"
