"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2024","56.3478","57.0411","57.2901","56.2127","","-0.80%"
"04/05/2024","56.8019","56.6718","56.9108","56.1327","","0.33%"
"04/04/2024","56.6125","56.3826","56.9602","56.0906","","0.42%"
"04/03/2024","56.3743","56.0558","56.8783","55.7115","","0.58%"
"04/02/2024","56.0503","56.0121","56.3691","55.8745","","0.07%"
"04/01/2024","56.0121","55.4375","56.1735","55.3810","","1.29%"
"03/28/2024","55.2970","55.1556","55.4393","54.8893","","0.34%"
"03/27/2024","55.1101","55.3373","55.3414","54.6023","","-0.46%"
"03/26/2024","55.3634","54.5528","55.5615","54.5023","","1.61%"
"03/25/2024","54.4852","54.2394","54.5705","54.0964","","0.47%"
"03/22/2024","54.2325","54.5443","54.9243","54.2173","","-0.71%"
"03/21/2024","54.6201","54.0245","54.9717","54.0245","","1.21%"
"03/20/2024","53.9666","54.0737","54.0850","53.3848","","-0.21%"
"03/19/2024","54.0793","54.5701","54.5811","53.4595","","-0.93%"
"03/18/2024","54.5866","54.7762","55.3276","54.4351","","-0.02%"
"03/15/2024","54.5998","54.3298","54.8381","54.2267","","0.53%"
"03/14/2024","54.3118","54.5254","54.7587","53.9530","","-0.38%"
"03/13/2024","54.5199","54.9497","55.3280","53.8974","","-0.69%"
"03/12/2024","54.9001","54.8036","55.1877","54.5306","","0.13%"
"03/11/2024","54.8298","54.1011","55.1266","54.0680","","1.28%"
"03/08/2024","54.1342","55.6114","55.8374","53.9812","","-2.65%"
"03/07/2024","55.6086","54.6553","55.7200","54.0371","","1.96%"
"03/06/2024","54.5409","53.7002","54.8120","53.6396","","1.91%"
"03/05/2024","53.5169","53.6789","54.0340","53.3251","","-0.37%"
"03/04/2024","53.7175","53.6951","54.9121","53.6303","","-0.34%"
"03/01/2024","53.9004","55.0150","55.4019","53.4799","","-2.24%"
"02/29/2024","55.1335","55.7277","55.8449","54.5322","","-1.51%"
"02/28/2024","55.9799","56.1442","56.4813","55.7699","","0.31%"
"02/27/2024","55.8052","54.4673","56.0392","54.4466","","2.64%"
"02/26/2024","54.3722","53.9149","54.6552","53.7013","","0.78%"
"02/23/2024","53.9535","54.7660","54.8742","53.8690","","-1.44%"
"02/22/2024","54.7412","55.1687","55.4234","54.2571","","-0.91%"
"02/21/2024","55.2414","55.1687","55.4234","54.3122","","0.89%"
"02/20/2024","54.7518","55.1687","55.4234","54.3122","","-1.41%"
"02/16/2024","55.5353","56.3223","56.4934","54.4636","","0.69%"
"02/15/2024","55.1528","56.3223","56.4934","54.4636","","-0.13%"
"02/14/2024","55.2236","56.3223","56.4934","54.4636","","-0.31%"
"02/13/2024","55.3927","56.3223","56.4934","55.1308","","-0.80%"
"02/12/2024","55.8367","56.3223","56.4934","55.7176","","-1.11%"
"02/09/2024","56.4634","55.2566","56.6648","55.2402","","2.13%"
"02/08/2024","55.2858","55.2852","55.9202","53.9664","","-0.11%"
"02/07/2024","55.3479","55.2852","55.9202","53.9664","","1.28%"
"02/06/2024","54.6471","55.2852","55.3961","53.9664","","-0.09%"
"02/05/2024","54.6980","55.2852","55.3961","54.6440","","-1.11%"
"02/02/2024","55.3137","55.0963","55.6386","54.1000","","0.24%"
"02/01/2024","55.1795","55.0963","55.6386","54.1000","","-0.59%"
"01/31/2024","55.5078","55.0963","55.6386","54.1000","","0.47%"
"01/30/2024","55.2472","55.0963","55.5818","54.1000","","1.76%"
"01/29/2024","54.2938","55.0963","55.5818","54.1653","","-1.37%"
"01/26/2024","55.0463","55.3521","55.5960","54.4482","","0.62%"
"01/25/2024","54.7068","55.3521","55.4076","54.5715","","-1.12%"
"01/24/2024","55.3250","54.9362","55.3880","54.4827","","0.67%"
"01/23/2024","54.9578","54.6521","55.1014","54.1116","","0.51%"
"01/22/2024","54.6805","53.8196","54.8445","53.6623","","1.58%"
"01/19/2024","53.8277","52.5573","54.1339","52.5533","","2.41%"
"01/18/2024","52.5614","51.7402","52.6687","51.4461","","1.60%"
"01/17/2024","51.7335","52.4980","52.6486","51.5770","","-1.50%"
"01/16/2024","52.5197","51.0690","52.5953","51.0623","","2.80%"
"01/12/2024","51.0907","51.6958","52.1708","51.0629","","-1.17%"
"01/11/2024","51.6971","50.8996","52.2446","50.8577","","1.59%"
"01/10/2024","50.8892","51.5829","51.7956","50.8223","","-1.32%"
"01/09/2024","51.5689","51.2909","51.9908","51.2710","","0.63%"
"01/08/2024","51.2450","50.7734","51.3279","50.5920","","0.84%"
"01/05/2024","50.8184","51.1183","51.2373","50.5580","","-0.58%"
"01/04/2024","51.1146","51.0563","51.4944","51.0078","","0.05%"
"01/03/2024","51.0904","51.5500","51.8734","50.8631","","-0.77%"
"01/02/2024","51.4856","51.1261","52.0994","51.1054","","0.75%"
"12/29/2023","51.1030","53.3228","53.4092","50.8206","","-4.18%"
"12/28/2023","53.3301","52.2063","53.5961","51.8195","","2.16%"
"12/27/2023","52.2039","51.6966","52.4956","51.3482","","1.03%"
"12/26/2023","51.6723","51.5311","51.8349","50.9352","","0.27%"
"12/22/2023","51.5311","51.2939","51.9353","50.9089","","0.63%"
"12/21/2023","51.2088","51.5068","51.7499","50.8271","","-0.51%"
"12/20/2023","51.4691","53.3800","53.4915","51.3725","","-3.58%"
"12/19/2023","53.3825","51.9136","53.6128","51.4888","","2.92%"
"12/18/2023","51.8674","52.3795","52.3843","51.4199","","-0.95%"
"12/15/2023","52.3637","52.8424","53.2005","52.0529","","-0.82%"
"12/14/2023","52.7986","52.4581","52.9138","51.9515","","0.72%"
"12/13/2023","52.4192","52.5906","53.8319","52.2712","","-0.25%"
"12/12/2023","52.5517","52.4338","52.5712","51.4067","","0.25%"
"12/11/2023","52.4204","52.3812","52.5343","51.5342","","0.20%"
"12/08/2023","52.3156","52.1639","52.7749","52.1396","","0.22%"
"12/07/2023","52.2004","51.5530","52.7339","51.5530","","1.25%"
"12/06/2023","51.5566","54.4072","54.4206","51.4963","","-5.12%"
"12/05/2023","54.3391","54.4718","54.6548","53.5094","","-0.22%"
"12/04/2023","54.4584","54.4897","54.6956","53.7152","","-0.07%"
"12/01/2023","54.4970","55.4619","55.6016","53.8686","","-1.76%"
"11/30/2023","55.4728","54.7127","55.5546","54.4989","","1.40%"
"11/29/2023","54.7066","54.8574","54.9501","54.5079","","-0.30%"
"11/28/2023","54.8732","54.5349","55.1334","54.1262","","0.62%"
"11/27/2023","54.5324","54.3655","54.8736","53.9019","","0.18%"
"11/24/2023","54.4360","54.7499","54.8940","54.2444","","-0.57%"
"11/22/2023","54.7499","55.1414","55.1602","54.3470","","-0.71%"
"11/21/2023","55.1414","55.2499","55.3803","54.8526","","-0.38%"
"11/20/2023","55.3520","54.4681","55.3945","54.2626","","1.57%"
"11/17/2023","54.4985","54.9725","55.1144","54.3108","","-0.88%"
"11/16/2023","54.9798","55.4093","55.7490","54.7157","","-0.82%"
"11/15/2023","55.4361","55.0010","55.5723","54.8143","","0.74%"
"11/14/2023","55.0277","55.5424","55.8265","55.0058","","-0.88%"
"11/13/2023","55.5180","54.7582","55.5936","54.3126","","1.34%"
"11/10/2023","54.7839","55.5877","55.6652","54.6695","","-1.53%"
"11/09/2023","55.6351","54.5408","55.7292","54.5403","","2.07%"
"11/08/2023","54.5093","54.6516","54.9244","54.3875","","-0.23%"
"11/07/2023","54.6363","55.5031","55.5749","54.6013","","-1.56%"
"11/06/2023","55.4995","55.1814","55.6330","54.9342","","0.55%"
"11/03/2023","55.1971","54.3520","55.2562","54.2328","","1.67%"
"11/02/2023","54.2901","53.6502","54.5067","53.6101","","1.28%"
"11/01/2023","53.6053","54.2956","54.5657","53.3581","","-1.36%"
"10/31/2023","54.3466","53.2406","54.4305","53.1952","","2.04%"
"10/30/2023","53.2588","54.2315","54.3693","53.2390","","-1.72%"
"10/27/2023","54.1903","53.9531","54.5147","53.9361","","0.40%"
"10/26/2023","53.9762","54.5395","54.7307","53.9519","","-1.04%"
"10/25/2023","54.5443","55.0422","55.6389","54.1829","","-0.92%"
"10/24/2023","55.0519","54.8114","55.2682","54.6967","","0.41%"
"10/23/2023","54.8271","53.9411","54.9772","53.5215","","1.48%"
"10/20/2023","54.0272","54.4130","54.4337","53.7778","","-0.85%"
"10/19/2023","54.4931","53.8930","54.5937","53.3897","","1.01%"
"10/18/2023","53.9500","53.6894","54.0027","53.3774","","0.44%"
"10/17/2023","53.7161","53.1255","53.8592","53.0747","","0.96%"
"10/16/2023","53.2044","53.3713","53.3895","52.6944","","-0.34%"
"10/13/2023","53.3871","51.9597","53.5362","51.9488","","2.74%"
"10/12/2023","51.9633","51.8302","52.2804","51.6204","","0.25%"
"10/11/2023","51.8314","52.4899","52.6436","51.7868","","-1.16%"
"10/10/2023","52.4402","52.5596","52.6414","51.8749","","-0.24%"
"10/09/2023","52.5657","52.3570","52.8416","52.1728","","0.72%"
"10/06/2023","52.1920","51.5487","52.2583","51.4413","","1.31%"
"10/05/2023","51.5196","51.5133","52.0776","51.3099","","0.07%"
"10/04/2023","51.4842","51.5746","52.0495","51.2719","","-0.21%"
"10/03/2023","51.5904","52.2692","52.3884","51.4904","","-1.32%"
"10/02/2023","52.2826","52.0455","52.8244","51.9240","","0.60%"
"09/29/2023","51.9715","52.7393","52.8872","51.8678","","-1.42%"
"09/28/2023","52.7187","52.4157","52.8745","52.0954","","0.64%"
"09/27/2023","52.3854","52.4247","52.6049","52.1266","","-0.12%"
"09/26/2023","52.4466","52.4253","53.0156","52.2004","","-0.11%"
"09/25/2023","52.5042","53.1955","53.2101","52.3082","","-1.20%"
"09/22/2023","53.1421","53.6642","54.0949","52.9701","","-0.92%"
"09/21/2023","53.6375","53.9444","54.0800","53.4076","","-0.65%"
"09/20/2023","53.9893","54.8970","54.9007","53.9406","","-1.68%"
"09/19/2023","54.9128","54.3393","55.2653","54.3393","","1.01%"
"09/18/2023","54.3636","54.1782","54.6315","53.6668","","0.56%"
"09/15/2023","54.0617","53.7116","54.4860","53.5826","","0.75%"
"09/14/2023","53.6606","52.9398","53.8130","52.8517","","1.38%"
"09/13/2023","52.9289","53.2759","53.3212","52.7928","","-0.79%"
"09/12/2023","53.3512","53.0650","53.6871","52.5909","","0.64%"
"09/11/2023","53.0102","52.2202","53.1653","51.8962","","1.55%"
"09/08/2023","52.1995","52.6299","53.0280","52.0099","","-0.78%"
"09/07/2023","52.6080","52.9128","52.9189","51.9974","","-0.50%"
"09/06/2023","52.8738","53.3988","53.7118","52.6530","","-1.05%"
"09/05/2023","53.4342","52.3530","53.6419","52.1293","","1.52%"
"09/01/2023","52.6333","52.0841","52.7618","52.0378","","1.20%"
"08/31/2023","52.0110","52.3373","52.9233","51.9793","","-0.69%"
"08/30/2023","52.3739","52.1158","52.8310","52.0848","","0.56%"
"08/29/2023","52.0805","52.0868","52.4195","51.7826","","-0.12%"
"08/28/2023","52.1441","51.6401","52.2412","51.3760","","1.10%"
"08/25/2023","51.5779","51.1185","51.6810","50.6704","","0.97%"
"08/24/2023","51.0807","50.6107","51.3081","50.4101","","0.95%"
"08/23/2023","50.6022","49.5817","50.9236","49.3713","","2.12%"
"08/22/2023","49.5524","49.6236","50.1307","49.5197","","-0.02%"
