"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2024","97.9675","97.4864","99.3466","97.4200","","-1.20%"
"04/05/2024","99.1587","98.8963","99.9574","98.5084","","0.37%"
"04/04/2024","98.7936","97.6983","98.8393","96.5916","","1.36%"
"04/03/2024","97.4702","97.0708","98.3259","96.8198","","0.33%"
"04/02/2024","97.1507","95.8500","97.4816","95.7702","","1.72%"
"04/01/2024","95.5078","95.2111","96.3977","94.2755","","0.65%"
"03/28/2024","94.8916","93.3057","94.9259","93.0091","","2.24%"
"03/27/2024","92.8151","92.3816","93.1004","91.9024","","-0.33%"
"03/26/2024","93.1232","93.7849","93.9447","92.9178","","-0.40%"
"03/25/2024","93.4997","92.5641","94.0930","92.1078","","1.64%"
"03/22/2024","91.9937","91.9480","92.9064","91.7541","","-0.54%"
"03/21/2024","92.4957","93.2601","93.4541","91.6286","","-0.25%"
"03/20/2024","92.7239","94.1386","94.2984","92.2333","","-1.76%"
"03/19/2024","94.3896","93.5682","94.8118","93.3514","","0.69%"
"03/18/2024","93.7393","92.2447","93.8420","92.1192","","1.96%"
"03/15/2024","91.9366","91.9138","92.2789","91.2863","","-0.20%"
"03/14/2024","92.1192","90.6474","92.4500","90.3964","","1.82%"
"03/13/2024","90.4762","88.6621","90.4990","88.2286","","2.65%"
"03/12/2024","88.1373","88.7648","89.3467","87.8749","","-0.36%"
"03/11/2024","88.4568","87.7152","89.0272","87.2131","","0.04%"
"03/08/2024","88.4225","89.7346","90.4648","87.9319","","-1.05%"
"03/07/2024","89.3581","89.5064","89.9970","88.4111","","-0.11%"
"03/06/2024","89.4608","88.3883","90.8984","88.2970","","1.29%"
"03/05/2024","88.3199","88.9360","89.6776","87.9205","","-0.97%"
"03/04/2024","89.1870","90.3165","90.7272","88.9474","","-1.16%"
"03/01/2024","90.2366","88.6621","91.1151","88.2058","","2.12%"
"02/29/2024","88.3655","88.6279","89.3809","88.1145","","-0.49%"
"02/28/2024","88.7990","88.9474","89.9058","88.0688","","-0.51%"
"02/27/2024","89.2554","88.1487","89.3239","87.4870","","1.48%"
"02/26/2024","87.9548","86.4487","88.4682","86.1407","","1.33%"
"02/23/2024","86.8024","88.4682","88.5366","86.5856","","-2.37%"
"02/22/2024","88.9131","88.8333","89.1870","86.6769","","0.80%"
"02/21/2024","88.2058","88.8333","89.0386","86.6769","","0.90%"
