"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2024","4.9795","4.9489","5.0248","4.9088","","0.18%"
"04/05/2024","4.9707","4.8875","5.0365","4.8831","","1.98%"
"04/04/2024","4.8743","4.8941","4.9291","4.8152","","0.04%"
"04/03/2024","4.8722","4.7517","4.9050","4.7407","","1.97%"
"04/02/2024","4.7780","4.8787","4.9313","4.7648","","-2.11%"
"04/01/2024","4.8809","4.8941","4.9138","4.7955","","-0.58%"
"03/28/2024","4.9094","4.7780","4.9817","4.7736","","2.33%"
"03/27/2024","4.7977","4.7451","4.8130","4.7210","","0.74%"
"03/26/2024","4.7626","4.8743","4.8809","4.7582","","-2.07%"
"03/25/2024","4.8634","4.8765","4.9685","4.8152","","0.05%"
"03/22/2024","4.8612","4.7670","4.8984","4.7298","","1.46%"
"03/21/2024","4.7911","4.8152","4.8415","4.7363","","0.32%"
"03/20/2024","4.7758","4.8349","4.8349","4.7100","","-1.36%"
"03/19/2024","4.8415","4.7560","4.8437","4.7232","","1.80%"
"03/18/2024","4.7560","4.6816","4.7648","4.6180","","2.69%"
"03/15/2024","4.6312","4.6662","4.7078","4.6158","","-0.70%"
"03/14/2024","4.6640","4.7319","4.7319","4.6312","","-2.21%"
"03/13/2024","4.7692","4.8174","4.8481","4.7035","","-0.59%"
"03/12/2024","4.7977","4.7867","4.8700","4.7429","","0.05%"
"03/11/2024","4.7955","4.6991","4.8218","4.5895","","1.77%"
"03/08/2024","4.7122","4.6377","4.7539","4.6202","","1.75%"
"03/07/2024","4.6312","4.6487","4.7188","4.6268","","-0.47%"
"03/06/2024","4.6531","4.7933","4.8261","4.6399","","-3.63%"
"03/05/2024","4.8283","4.9247","4.9444","4.7867","","-2.31%"
"03/04/2024","4.9423","4.9072","4.9751","4.8502","","1.12%"
"03/01/2024","4.8875","5.0277","5.0540","4.8678","","-3.21%"
"02/29/2024","5.0496","5.0693","5.0934","4.9861","","0.26%"
"02/28/2024","5.0365","5.1022","5.1263","5.0080","","-1.63%"
"02/27/2024","5.1197","5.0671","5.1657","5.0102","","1.65%"
"02/26/2024","5.0365","5.0058","5.0474","4.9072","","1.01%"
"02/23/2024","4.9861","5.1109","5.1482","4.9773","","-1.77%"
"02/22/2024","5.0759","4.8941","5.2073","4.8524","","0.22%"
"02/21/2024","5.0649","4.8941","5.0956","4.8524","","-0.22%"
"02/20/2024","5.0759","4.8941","5.0956","4.8524","","3.62%"
"02/16/2024","4.8984","5.2292","5.2928","4.8656","","-1.45%"
"02/15/2024","4.9707","5.2292","5.2928","4.9642","","-2.70%"
"02/14/2024","5.1087","5.2292","5.2928","5.0627","","-2.35%"
"02/13/2024","5.2314","5.2292","5.2928","5.1731","","-0.30%"
"02/12/2024","5.2472","5.2292","5.2928","5.1731","","0.05%"
"02/09/2024","5.2446","5.1823","5.3227","5.1770","","1.19%"
"02/08/2024","5.1827","5.2318","5.3419","5.1423","","-2.26%"
"02/07/2024","5.3023","5.2318","5.3419","5.1679","","1.18%"
"02/06/2024","5.2406","5.2318","5.2714","5.1679","","0.80%"
"02/05/2024","5.1988","5.2318","5.2714","5.1679","","-1.58%"
"02/02/2024","5.2824","5.2582","5.3837","5.1481","","-0.29%"
"02/01/2024","5.2979","5.2582","5.3441","5.1481","","1.05%"
"01/31/2024","5.2428","5.2582","5.3441","5.1481","","-1.69%"
"01/30/2024","5.3331","5.2582","5.3441","5.1481","","2.02%"
"01/29/2024","5.2274","5.2582","5.2626","5.1790","","-1.12%"
"01/26/2024","5.2868","5.4278","5.4366","5.2208","","-1.96%"
"01/25/2024","5.3925","5.4278","5.4366","5.3485","","0.25%"
"01/24/2024","5.3793","5.2890","5.3859","5.2560","","2.39%"
"01/23/2024","5.2538","5.2538","5.3441","5.2318","","0.00%"
"01/22/2024","5.2538","5.2428","5.2824","5.1701","","0.55%"
"01/19/2024","5.2252","5.1679","5.2670","5.1679","","1.32%"
"01/18/2024","5.1569","5.1107","5.1701","5.0490","","0.51%"
"01/17/2024","5.1305","5.1547","5.2472","5.0909","","0.09%"
"01/16/2024","5.1261","5.2824","5.2868","5.0799","","-2.35%"
"01/12/2024","5.2494","5.3199","5.3859","5.1745","","-1.28%"
"01/11/2024","5.3177","5.3837","5.4146","5.3023","","-1.15%"
"01/10/2024","5.3793","5.3551","5.3859","5.3199","","0.12%"
"01/09/2024","5.3727","5.2648","5.4036","5.2472","","2.31%"
"01/08/2024","5.2516","5.3837","5.3903","5.2252","","-3.21%"
"01/05/2024","5.4256","5.4256","5.4718","5.3969","","0.41%"
"01/04/2024","5.4036","5.3089","5.4124","5.2076","","2.21%"
"01/03/2024","5.2868","5.3551","5.3595","5.2714","","-1.07%"
